country,name,type
Spain,"RA-MA, S.A. EDITORIAL Y PUBLICACIONES",Publishers
"Taiwan, China",音樂之橋股份有限公司,Publishers / Audio-visual Publishing
"Taiwan, China",聯經出版事業公司,Publishers
"Taiwan, China",Sun Ho Culture Inc.,Publishers
"Taiwan, China",泛亚文化,Publishers / Children's Publishing
"Taiwan, China",臺灣商務印書館,Publishers / Comprehensive Publishing
"Taiwan, China","Page International Cultural Co., Ltd.",Publishers / Comprehensive Publishing
"Taiwan, China",黎明文化事業股份有限公司,Publishers / Comprehensive Publishing
"Taiwan, China",鴻儒堂書局股份有限公司,Publishers / Comprehensive Publishing
Italy,Ediser Srl,Publishers / Comprehensive Publishing
Italy,Alinari 24 ORE,Publishers / Culture & Art Publishing
Italy,Archideos Editore,Publishers / Culture & Art Publishing
Italy,Atlantyca Entertainment,Publishers / Children's Publishing
Italy,Coedisar,Publishers / Comprehensive Publishing
Italy,Consiglio Nazionale delle Ricerche - CNR,Publishers / Comprehensive Publishing
Italy,Domus de Janas,Publishers / Comprehensive Publishing
Italy,Drago Editore,Publishers / Culture & Art Publishing
Italy,EditVALLARDI,Publishers / Comprehensive Publishing
Italy,ELI Editore,Publishers / Textbook Publishing
Italy,Giangiacomo Feltrinelli Editore,Publishers / Comprehensive Publishing
Italy,Frorias Editore,Publishers / Comprehensive Publishing
South Africa,Juta & Co. ｜ UCT Press,Publishers / Scholarly Publishing
United Kingdom,Harvard University Press,Publishers / Comprehensive Publishing
United States,University of Chicago Press,Publishers / Comprehensive Publishing
United States,University of Illinois Press,Publishers / Comprehensive Publishing
Spain,EDITORIAL ANAGRAMA,Publishers / Literature Publishing
Spain,El País-Aguilar,Publishers
Korea,Bricks Education,Publishers / Textbook Publishing
Canada,Chouette Publishing,Publishers / Children's Publishing
Germany,Hörcompany Schaack und Herzog oHG,Publishers / Children's Publishing
United Kingdom,De Gruyter Publishing,Publishers / Comprehensive Publishing
Korea,퓨쳐연구소,Publishers / Textbook Publishing
Korea,사파리,Publishers / Children's Publishing
"Hong Kong, China",香港制版印刷出版集团,Publishers / Comprehensive Publishing
South Africa,Unisa Press,Publishers / Scholarly Publishing
Spain,Casa de Velazquez,Publishers
Spain,Centro de Estudios Avanzados en Ciencias Sociales (CEACS) del Instituto Juan March de Estudios e Investigaciones,Publishers
Spain,"EDELSA GRUPO DIDASCALIA, S.A.",Publishers / Textbook Publishing
Spain,Lunwerg Editores,Publishers
Spain,ICCE - INSTITUTO CALASANZ,Publishers
Spain,T & B Editores,Publishers / Culture & Art Publishing
Sweden,Alfabeta Bokforlag AB,Publishers / Children's Publishing
Sweden,Berghs Förlag AB,Publishers / Children's Publishing
Sweden,BokförlagetOpal AB,Publishers / Children's Publishing
Sweden,Bonnier Carlsen,Publishers / Children's Publishing
Switzerland,CHRISTOPH MERIAN VERLAG,Publishers
Switzerland,Diogenes Verlag AG,Publishers / Children's Publishing
Switzerland,Edition Olms AG,Publishers
Switzerland,Baobab Books,Publishers / Children's Publishing
"Macao, China",新纪元国际出版社,Publishers / Comprehensive Publishing
Turkey,Timas Publishing Group,Publishers / Comprehensive Publishing
United Kingdom,Guild of Master Craftsman Publications Ltd.,Publishers / Comprehensive Publishing
United Kingdom,Carlton Publishing Group,Publishers / Comprehensive Publishing
Canada,Fitzhenry & whiteside Publishers,Publishers / Comprehensive Publishing
"Hong Kong, China",联合电子出版有限公司,Publishers / Comprehensive Publishing
Russia,Azbookvarik Group Publishing House,Publishers / Children's Publishing
India,"National Book Trust, India",Publishers / Children's Publishing
Thailand,"Pass Education Co., Ltd.",Publishers / Children's Publishing
United Kingdom,Thames & Hudson,Publishers / Comprehensive Publishing
Switzerland,Kuemmerly & Frey AG,Publishers
Switzerland,SJW Schweizerisches Jugendschriftenwerk,Publishers / Children's Publishing
Syria,Dar Al Maarifah,Publishers / Religious Publishing
"Taiwan, China",合记图书出版社,Publishers
Thailand,Silkworm Books Limited Partnership,Publishers
Thailand,White Lotus Company Limited,Publishers / Comprehensive Publishing
Turkey,Redhouse Yayinevi,Publishers
Japan,株式会社角川書店,Publishers / Comprehensive Publishing
Belgium,Clavis Publishing,Publishers
Germany,Compact Verlag Gmbh,Publishers / Children's Publishing
Brazil,Cosac Naify,Publishers
Italy,Dami (International) un marchio di Giunti Editore spa,Publishers
United States,Harvard Business Review Press,Publishers / Comprehensive Publishing
United Kingdom,Psychology Press,Publishers / Scholarly Publishing
France,Lextenso,Publishers / Textbook Publishing
France,Prosveta Éditions,Publishers
France,Somogy Éditions D'art,Publishers / Comprehensive Publishing
Russia,"Издательства ""АЛЕТЕЙЯ""",Publishers / Culture & Art Publishing
United Kingdom,The Chicken House,Publishers
United Kingdom,David West Children's Books,Publishers / Children's Publishing
France,Stock,Publishers / Literature Publishing
Malaysia,Pelima Media SDN BHD,Publishers / Other
Malaysia,August Publishing,Publishers / Comprehensive Publishing
Thailand,Li-zenn Publishing,Publishers / Comprehensive Publishing
Thailand,"Sataporn Books Co., Ltd.",Publishers / Other
Thailand,Kledthai Publishing,Publishers / Comprehensive Publishing
Thailand,Pran Publishing Company Limited,Publishers / Comprehensive Publishing
Thailand,Pran Publishing Company Limited,Publishers / Comprehensive Publishing
Thailand,"Plan For Kids Co., Ltd.",Publishers / Children's Publishing
Thailand,"Library Monster Co., Ltd.",Publishers / Comprehensive Publishing
United States,"Teaching Strategies, Inc.",Publishers / Textbook Publishing
United States,TANGO BOOKS LTD AND 2 TOTANGO LTD,Publishers
United States,northwestern university press,Publishers
United States,University of Illinois Press,Publishers
United Kingdom,Alastor Rare Books,Publishers / Culture & Art Publishing
United Kingdom,E J Morten Booksellers,Publishers / Comprehensive Publishing
United Kingdom,Fine Books at Ilkley,Publishers / Comprehensive Publishing
United Kingdom,Ian Marr Rare Books,Publishers / Comprehensive Publishing
United Kingdom,John Robertshaw,Publishers / Comprehensive Publishing
United Kingdom,Christopher Edwards,Publishers / Comprehensive Publishing
United Kingdom,Quay Books,Publishers / Scholarly Publishing
France,Dragaud-Lombard,Publishers / Children's Publishing
France,Dupuis,Publishers / Comics Publishing
United States,Eerdmans Books for Young Readers,Publishers / Children's Publishing
France,Palette,Publishers / Children's Publishing
Colombia,Panamericana Editorial Ltda,Publishers / Children's Publishing
United States,"Zeig, Tucker & Theisen Inc",Publishers / Lifestyle Publishing
Spain,Gemser Publications,Publishers / Children's Publishing
Argentina,El Ateneo Editorial,Publishers
Argentina,Ediciones Ciudad Argentina,Publishers
Argentina,Emecé Editores,Publishers
Argentina,Editorial Grijalbo,Publishers
Germany,Urania Verlag,Publishers / Children's Publishing
Germany,Thienemann Verlag,Publishers / Children's Publishing
France,Cahiers du temps,Publishers / Culture & Art Publishing
Germany,Bastei Lübbe GmbH & Co. KG,Publishers / Comprehensive Publishing
Japan,有限会社　明日香出版社,Publishers / Economic & Financial Publishing
Italy,Babalibri srl,Publishers / Children's Publishing
Italy,Camelozampa,Publishers / Children's Publishing
Italy,Gius. Laterza & Figli,Publishers / Comprehensive Publishing
Russia,BKL Publishers,Publishers / Textbook Publishing
France,Éditions de Minuit,Publishers / Comprehensive Publishing
France,JOUVENCE ÉDITIONS,Publishers / Other
France,GALLIMARD,Publishers
France,Le Passage,Publishers / Comprehensive Publishing
France,PAYOT (EDITIONS),Publishers / Comprehensive Publishing
Spain,Anthropos Editorial,Publishers
Benin,Tamer Institute for Community Education,Publishers
Italy,Zoolibri di Rabitti Corrado,Publishers / Children's Publishing
United States,Fordham University Press,Publishers
United Kingdom,b small publishing ltd.,Publishers / Children's Publishing
India,CBS Publishers & Distributors Pvt. Ltd.,Publishers / Comprehensive Publishing
Argentina,Bajo la Luna Editorial,Publishers
Spain,Cabaret Voltaire,Publishers
Spain,Editorial CCS,Publishers
Spain,Ediciones del Laberinto S.L.,Publishers / Comprehensive Publishing
Spain,Editorial Minúscula,Publishers / Lifestyle Publishing
Spain,Libros del Asteroide,Publishers / Literature Publishing
Spain,Libros del Silencio,Publishers
Spain,Libros del Zorro Rojo,Publishers
Spain,MENOSCUARTO EDICIONES,Publishers
Spain,Rey Lear + Reino de Cordelia,Publishers
Spain,Sajalín Editores,Publishers
Spain,Thule Ediciones,Publishers
France,Fayard,Publishers / Comprehensive Publishing
France,Payot & Rivages,Publishers / Comprehensive Publishing
Latvia,Latvian Literature Centre,Publishers / Children's Publishing
Spain,Intermon Oxfam,Publishers / Comprehensive Publishing
"Taiwan, China",东立出版社有限公司,Publishers / Comics Publishing
Argentina,Adriana Hidalgo Editora,Publishers
Spain,EDICIONES MAEVA,Publishers
Spain,EDICIONES MIRAGUANO,Publishers
Spain,EDITORIAL ANAGRAMA,Publishers
Spain,Editorial Complutense,Publishers
Spain,EDITORIAL FUNDAMENTOS,Publishers
Spain,GEDISA EDITORIAL,Publishers / Textbook Publishing
Spain,EDITORIAL GREDOS,Publishers
Spain,Siglo XXI Editores,Publishers
Spain,EDITORIAL SÍNTESIS,Publishers
Spain,Trotta Editorial,Publishers
Spain,"EL CROQUIS, S.L.",Publishers
Spain,Elhuyar Fundazioa,Publishers
Spain,Editorial Erein,Publishers
Spain,"ESCALERA EDICIONES, S. L.",Publishers / Comprehensive Publishing
"Taiwan, China",洪範書店有限公司,Publishers / Literature Publishing
United States,nbm publishing papercutz,Publishers
Italy,Orecchio acerbo,Publishers
Italy,Editoriale Scienza,Publishers
Thailand,"Nanmeebooks Publications Co., Ltd.",Publishers
Spain,ESIC EDITORIAL,Publishers
Spain,ESPASA CALPE,Publishers
Spain,"FUNAMBULISTA EDITORIAL, S.L",Publishers
Spain,EDITORIAL GALAXIA GUTENBERG,Publishers
Spain,LA FACTORÍA DE IDEAS,Publishers
Spain,LID Editorial Empresarial,Publishers
Spain,Moleiro Editor,Publishers
Spain,Lengua de Trapo,Publishers
Spain,Libros del Zorro Rojo,Publishers
Italy,Arte Contemporaneo Edizioni,Publishers
Spain,Ediciones Nobel,Publishers
Spain,EDITORIAL ENEIDA,Publishers
Spain,ESPASA CALPE,Publishers
United States,ABRAMS,Publishers / Children's Publishing
United States,Disney-Hyperion Books,Publishers / Children's Publishing
United States,Holiday House,Publishers / Children's Publishing
Spain,"Ideaspropias Editorial, S.L.",Publishers / Textbook Publishing
France,Presses Universitaires de France-PUF,Publishers
Austria,"Breitschopf Julius GmbH , Verlagsbuchhandlung",Publishers / Children's Publishing
United Kingdom,ADPS Anno Domini Publishing,Publishers / Children's Publishing
Italy,Ant's Books,Publishers / Children's Publishing
Italy,Associazione Illustratori,Publishers / Children's Publishing
Italy,Atlantyca Entertainment,Publishers / Comprehensive Publishing
Switzerland,Erika Klopp Verlag,Publishers / Children's Publishing
Austria,Austrian Federal Economic Chamber,Publishers / Children's Publishing
India,Dreamland Publications,Publishers / Children's Publishing
Ireland,MERCIER PRESS,Publishers
Ireland,The O'Brien Press Ltd,Publishers / Children's Publishing
Israel,The Institute for the Translation of Hebrew Literature,Publishers / Children's Publishing
Italy,Casalini Libri,Publishers / Comprehensive Publishing
Italy,Black Cat Cideb,Publishers / Textbook Publishing
Italy,Edi.Ermes Srl,Publishers / Science and Technology Publishing
Italy,Editrice Il Castoro,Publishers
Italy,info@sperling.it,Publishers
Japan,株式会社　筑摩書房,Publishers
Spain,FEDERACIÓN DE GREMIOS DE EDITORES DE ESPAÑA,Publishers
Japan,株式会社 吉川弘文館,Publishers / Social Science Publishing
France,LES DOIGTS QUI REVENT,Publishers / Literature Publishing
Japan,株式会社 汲古書院,Publishers / Scholarly Publishing
Germany,Klett Kinderbuch,Publishers / Children's Publishing
United States,Author Services Inc.,Publishers / Comprehensive Publishing
Switzerland,Balance Rief,Publishers / Children's Publishing
Belgium,Ballon Media NV,Publishers / Children's Publishing
India,BAP Educare (P),Publishers / Children's Publishing
United States,Bendon Publishing International,Publishers / Children's Publishing
Denmark,Bigini Reklame,Publishers / Children's Publishing
United Kingdom,Image Books Factory BV,Publishers / Children's Publishing
India,"National Book Trust, India",Publishers / Comprehensive Publishing
Italy,Edizioni Piemme SpA,Publishers
Italy,edizioni san paolo,Publishers / Religious Publishing
Italy,Franco Cosimo Panini Editore Srl,Publishers / Culture & Art Publishing
Italy,Guerra Edizioni,Publishers / Textbook Publishing
Italy,Idearte Srl,Publishers / Culture & Art Publishing
Italy,Loescher Editore,Publishers / Comprehensive Publishing
Italy,Piccin Nuova Libraria SpA,Publishers / Textbook Publishing
Italy,RCS Libri SpA,Publishers
Italy,RL Gruppo Editoriale,Publishers / Comprehensive Publishing
Japan,株式会社 青木書店,Publishers / Comprehensive Publishing
Japan,朝倉書店,Publishers / Comprehensive Publishing
Japan,株式会社 培風館,Publishers / Comprehensive Publishing
Canada,Bayard Canada Livres,Publishers / Children's Publishing
United States,Blue Apple Books,Publishers / Children's Publishing
Other countries,Bokadeild F.roya Laerarafelags,Publishers / Children's Publishing
"Hong Kong, China",勤＋緣出版社,Publishers
Hungary,Association of Hungarian Children's Book Publishers,Publishers / Children's Publishing
United Kingdom,i am a bookworm,Publishers / Children's Publishing
Poland,IBBY Polish Section,Publishers / Children's Publishing
Japan,株式会社あかね書房,Publishers
United Kingdom,IF (that company called),Publishers / Children's Publishing
United States,"Henry Holt and Company, Inc.",Publishers / Comprehensive Publishing
Japan,株式会社　筑摩書房,Publishers
Japan,株式会社 学生社,Publishers / Social Science Publishing
Japan,株式会社 医学書院,Publishers
Japan,株式会社　金の星社,Publishers / Children's Publishing
Japan,共立出版株式会社,Publishers
Japan,みすず書房,Publishers / Literature Publishing
Japan,株式会社 西村书店,Publishers / Children's Publishing
Japan,株式会社オ ー ム 社,Publishers / Comprehensive Publishing
Japan,株式会社 ポプラ社,Publishers / Children's Publishing
Japan,株式会社サンマーク出版,Publishers / Comprehensive Publishing
New Zealand,Exisle Publishing Ltd,Publishers / Comprehensive Publishing
Poland,"Instytut Wydawniczy Pax, Inco- Veritas",Publishers
Poland,Wydawnictwo Wilga Sp z oo,Publishers
Argentina,Akadia Librería - Editorial,Publishers
Argentina,El Ateneo Editorial,Publishers / Comprehensive Publishing
Spain,Editorial Arguval,Publishers / Comprehensive Publishing
Spain,Arnoia Distribución de Libros,Publishers
Spain,EDITORIAL EDITEX,Publishers
Spain,Editorial Egales,Publishers / Comprehensive Publishing
Italy,gallucci editore,Publishers / Children's Publishing
Germany,Alexander Verlag,Publishers / Comprehensive Publishing
Germany,"aLiVe, Assoziation Linker Verlage",Publishers / Comprehensive Publishing
Germany,Assoziation A,Publishers / Comprehensive Publishing
Japan,株式会社 玉川大学出版部,Publishers / Textbook Publishing
Japan,名古屋大学出版会,Publishers / Comprehensive Publishing
Spain,Asociación de Editores de Andalucía,Publishers / Children's Publishing
Spain,Asociación Galega de Editores,Publishers
Thailand,Pran Publishing Company Limited,Publishers / Comprehensive Publishing
France,Gallimard,Publishers / Comprehensive Publishing
France,CNRS éditions,Publishers / Scholarly Publishing
France,Dunod,Publishers / Textbook Publishing
France,Editions Macula,Publishers / Comprehensive Publishing
France,Flammarion,Publishers / Comprehensive Publishing
France,Gallimard Jeunesse,Publishers / Children's Publishing
France,Arche Editeur (L'),Publishers / Comprehensive Publishing
France,Liana Levi,Publishers / Comprehensive Publishing
France,Marabout,Publishers
France,Mercure de France,Publishers / Comprehensive Publishing
France,Raisons d´Agir,Publishers / Comprehensive Publishing
France,Rue du Monde,Publishers
France,Syllepses,Publishers
France,Tallandier Éditions,Publishers / Comprehensive Publishing
France,Viviane Hamy,Publishers / Comprehensive Publishing
Japan,医歯薬出版株式会社,Publishers / Scholarly Publishing
France,CASTOR ASTRAL (LE),Publishers / Comprehensive Publishing
Italy,Edizioni Artebambini snc,Publishers / Children's Publishing
Japan,株式会社 法研 Houken Corporation,Publishers / Lifestyle Publishing
Japan,株式会社 医学書院,Publishers / Scholarly Publishing
Japan,株式会社 建帛社,Publishers / Comprehensive Publishing
France,Møtus,Publishers / Children's Publishing
Ukraine,"Издательский дом ""Гуманитарный центр""",Publishers / Popular Science Publishing
Spain,VALDEMAR,Publishers / Comprehensive Publishing
Spain,ERRATA NATURAE EDITORES,Publishers / Comprehensive Publishing
Spain,Éride Ediciones,Publishers / Comprehensive Publishing
Spain,ESIC-EDITORIAL,Publishers / Economic & Financial Publishing
Spain,"FÓRCOLA EDICONES, S.L.",Publishers / Comprehensive Publishing
Italy,Giunti Editore,Publishers / Comprehensive Publishing
Germany,BuchVerlag für die Frau GmbH,Publishers / Comprehensive Publishing
Germany,Gmeiner-Verlag GmbH,Publishers / Comprehensive Publishing
Japan,学校法人 东海大学出版会,Publishers / Scholarly Publishing
Japan,株式会社 刀水書房,Publishers / Social Science Publishing
Japan,税務経理協会,Publishers
Kenya,Phoenix Publishers Ltd,Publishers / Children's Publishing
Liechtenstein,Frank P van Eck Publishers,Publishers
Mexico,Aguilar Altea Taurus Alfaguara SA de CV,Publishers
Netherlands,Ambo Anthos,Publishers / Comprehensive Publishing
Netherlands,Athenaeum-Polak & Van Gennep,Publishers / Literature Publishing
Netherlands,Gottmer Uitgevers Groep,Publishers
Netherlands,Prometheus,Publishers / Comprehensive Publishing
Netherlands,De Bezige Bij,Publishers / Literature Publishing
Netherlands,J.M. Meulenhoff,Publishers / Comprehensive Publishing
Netherlands,Podium,Publishers / Comprehensive Publishing
Netherlands,Wageningen Academic Publishers,Publishers / Popular Science Publishing
Poland,Marek Lewinson,Publishers
Poland,Pallottinum Wydawnictwo Stowarzyszenia Apostolstwa Katolickiego,Publishers
Poland,Videograf II Sp z oo Zaklad Poracy Chronionej,Publishers
United States,Ecco/HarperCollins Publishers,Publishers / Comprehensive Publishing
United States,Penguin Group,Publishers / Comprehensive Publishing
Spain,Edelvives,Publishers / Children's Publishing
France,LE PRE AUX CLERCS,Publishers / Children's Publishing
Italy,Zoolibri di Rabitti Corrado,Publishers / Children's Publishing
Germany,Annette Betz Verlag,Publishers / Children's Publishing
France,Atrabile,Publishers / Comics Publishing
France,BDJAZZ - BDMUSIC,Publishers / Comics Publishing
France,BRUIT DU TEMPS (LE),Publishers / Literature Publishing
Spain,Editorial Pliegos,Publishers / Literature Publishing
Spain,EDICIONES POLIFEMO,Publishers / Scholarly Publishing
Spain,Editorial Pre-Textos,Publishers / Comprehensive Publishing
France,Autrement,Publishers / Comprehensive Publishing
Japan,東京大学出版会,Publishers / Comprehensive Publishing
Czech Republic,B4U Publishing s.r.o.,Publishers / Children's Publishing
Canada,Groundwood Books,Publishers / Children's Publishing
Italy,Società Editoriale Grafiche AZ,Publishers / Children's Publishing
United States,Chronicle Books,Publishers / Comprehensive Publishing
Slovakia,BIBIANA - International House of Art for Children,Publishers / Children's Publishing
Other countries,Institute for the Intellectual Development of Children and Young Adults (Kanoon),Publishers / Children's Publishing
Italy,IBBY Italia,Publishers / Children's Publishing
Spain,EIKON EDITORES,Publishers / Culture & Art Publishing
Spain,EDICIONES TUTOR,Publishers / Comprehensive Publishing
Sweden,Rabén & Sjogren Agency,Publishers / Children's Publishing
Spain,Editorial Hidra,Publishers
United Kingdom,Cheeky Monkey Publishing Ltd.,Publishers / Children's Publishing
Italy,Kalandraka Italia,Publishers / Children's Publishing
Germany,Vielflieger Verlag,Publishers / Children's Publishing
India,Aadarsh Pvt. Ltd.,Publishers / Children's Publishing
Italy,Abaco Edizioni - Vecchi Editore srl,Publishers / Children's Publishing
Denmark,ABC Forlag,Publishers / Comprehensive Publishing
Italy,Accipicchia Design,Publishers / Children's Publishing
United Kingdom,Advocate Art Ltd.,Publishers / Children's Publishing
Korea,Agaworld Co. Ltd.,Publishers / Children's Publishing
Italy,Andersen - Feguagiskia' Studios,Publishers / Children's Publishing
Canada,Annick Press Ltd.,Publishers / Children's Publishing
Spain,Distribuciones Alfaomega S. L.,Publishers / Comprehensive Publishing
Spain,Ediciones Doce Calles,Publishers
France,Éditions du Mercure de France,Publishers / Comprehensive Publishing
France,Éditions Mouck,Publishers / Comprehensive Publishing
Germany,Edition Hamouda,Publishers / Comprehensive Publishing
Germany,Die Gestalten Verlag (dgv),Publishers / Culture & Art Publishing
Germany,DuMont Literatur und Kunst Verlag,Publishers / Culture & Art Publishing
Russia,"Искусство–XXI век, издательство",Publishers / Culture & Art Publishing
Spain,"FUNAMBULISTA EDITORIAL, S.L",Publishers / Literature Publishing
Spain,EDITORIAL FUNDACIÓN CONFEMETAL,Publishers
Spain,EDITORIAL FUNDACIÓN  FEDERICO ENGELS,Publishers / Comprehensive Publishing
Spain,EDITORIAL FUNDAMENTOS,Publishers
Spain,Gadir Editorial,Publishers / Literature Publishing
Spain,GALLONERO EDICIONES,Publishers / Literature Publishing
Spain,GALLONERO EDICIONES,Publishers / Literature Publishing
Spain,EDITORIAL GRUPO CERO,Publishers / Culture & Art Publishing
Spain,EDITORIAL GREDOS,Publishers / Scholarly Publishing
Spain,"HABLA CON EÑE, S.L.",Publishers / Audio-visual Publishing
Spain,EDITORIAL HÉLICE,Publishers / Comprehensive Publishing
Spain,Editorial Hidra,Publishers
Spain,Ediciones Hiperión,Publishers
Spain,HUERGA Y FIERRO EDITORES,Publishers / Literature Publishing
Spain,HUERGA Y FIERRO EDITORES,Publishers
Spain,Editorial Sins Entido,Publishers / Comprehensive Publishing
Italy,Logos Edizioni,Publishers / Culture & Art Publishing
Spain,Victor AIZENMAN Librero anticuario,Publishers / Comprehensive Publishing
France,LES AMAZONES,Publishers / Comprehensive Publishing
Belgium,CFC-EDITIONS,Publishers / Comprehensive Publishing
Spain,EDITORIAL  PERIFÉRICA,Publishers / Literature Publishing
Spain,Pigmalión Edypro,Publishers / Literature Publishing
Spain,Plaza y Valdés,Publishers / Social Science Publishing
Spain,Reino de Cordelia S.L.,Publishers / Children's Publishing
Spain,Rey Lear Editores S.L.,Publishers / Comprehensive Publishing
Spain,Scriptorium S.L,Publishers / Comprehensive Publishing
Spain,Editorial Sexto Piso,Publishers / Comprehensive Publishing
Spain,Siglo XXI Editores,Publishers / Comprehensive Publishing
Spain,"TALASA EDICIONES, S.L.",Publishers / Comprehensive Publishing
Spain,Editorial Tébar,Publishers / Textbook Publishing
Spain,"Testimonio Compañia Editorial, S.A.",Publishers
Spain,Trama Editorial,Publishers / Literature Publishing
Spain,Todolibro,Publishers / Children's Publishing
France,DENOËL,Publishers / Comprehensive Publishing
Spain,Unión Editorial S.A.,Publishers / Comprehensive Publishing
Spain,EDITORIAL UNED,Publishers / Textbook Publishing
Spain,Ediciones de la Universidad de Cantabria,Publishers / Comprehensive Publishing
Spain,EDITORIAL VERBUM,Publishers
Spain,Xordica Editorial s.l.,Publishers / Literature Publishing
Spain,Xordica Editorial s.l.,Publishers / Literature Publishing
Spain,Ediciones Pirámide,Publishers / Textbook Publishing
Germany,EDITION PASTORPLATZ,Publishers / Comprehensive Publishing
Germany,Böhlau Verlag,Publishers / Comprehensive Publishing
Germany,Books on Demand GmbH,Publishers / Comprehensive Publishing
Germany,BS-Verlag-Rostock,Publishers / Comprehensive Publishing
Spain,Algaida Editores,Publishers
Spain,EDITORIAL VIVELIBRO,Publishers / Comprehensive Publishing
Spain,Editorial Actar,Publishers
Spain,EDITORIAL ALMUZARA,Publishers
Spain,Editorial Anagrama,Publishers
Spain,Ediciones Paidós,Publishers / Comprehensive Publishing
France,Joie de Lire (La),Publishers / Children's Publishing
Japan,株式会社 产业能率大学出版部,Publishers / Economic & Financial Publishing
Japan,関西学院大学出版会,Publishers / Comprehensive Publishing
Spain,KAILAS EDITORIAL,Publishers / Comprehensive Publishing
Argentina,katz editores s.a.,Publishers / Comprehensive Publishing
Spain,katz editores s.a.,Publishers / Comprehensive Publishing
Spain,EDITORIAL KÓKINOS,Publishers
Spain,Ediciones Kraken,Publishers / Comics Publishing
Spain,La Fábrica Editorial,Publishers / Comprehensive Publishing
Spain,La Esfera de los Libros,Publishers / Comprehensive Publishing
Spain,Lengua de Trapo,Publishers
Spain,Ediciones Libertarias,Publishers
Spain,Libros del K.O.,Publishers / Literature Publishing
Spain,LID Editorial Empresarial,Publishers / Comprehensive Publishing
Germany,VDG Weimar,Publishers / Comprehensive Publishing
France,ROUGIER V. EDITIONS,Publishers / Comprehensive Publishing
France,Editions 2024,Publishers / Children's Publishing
France,ALZABANE EDITIONS,Publishers / Children's Publishing
Japan,たちばな出版本社,Publishers / Comprehensive Publishing
Spain,EDITORIAL LUIS VIVES,Publishers
France,Librairie MOORTHAMERS,Publishers / Comprehensive Publishing
France,Librairie Ancienne ORMARA,Publishers / Comprehensive Publishing
France,"Eric ZINK, Livres Anciens",Publishers / Comprehensive Publishing
Italy,Adriano Salani Editore srl,Publishers / Literature Publishing
Italy,Edizioni White Star SRL,Publishers / Lifestyle Publishing
Germany,dpunkt.verlag GmbH,Publishers / Digital Publishing
Spain,EDITORIAL FUNDACIÓN MAPFRE,Publishers
Spain,Editorial Médica Panamericana,Publishers
Spain,MIRAGUANO EDICIONES,Publishers
Spain,"NARCEA, S.A. DE EDICIONES",Publishers
Spain,Editorial Mundo Negro,Publishers / Comprehensive Publishing
Spain,Nórdica Libros,Publishers / Literature Publishing
Spain,NOCTURNA EDICIONES,Publishers / Literature Publishing
Ukraine,"Видавництво ""Велес""",Publishers / Comprehensive Publishing
Japan,株式会社アーテック,Publishers / Children's Publishing
Japan,岩崎書店,Publishers / Children's Publishing
Germany,Aladin Verlag GmbH,Publishers / Children's Publishing
Spain,EDITORIAL NIVOLA,Publishers / Comprehensive Publishing
Spain,Ediciones EL ROMPECABEZAS,Publishers / Comprehensive Publishing
Spain,EDICIONES NOWTILUS,Publishers / Comprehensive Publishing
Spain,"NOTORIOUS EDICIONES, S.L.",Publishers / Culture & Art Publishing
Spain,Orbis Mediaevalis,Publishers / Literature Publishing
Spain,Fundación Pablo Iglesias,Publishers / Social Science Publishing
Spain,EDICIONES PALABRA,Publishers / Comprehensive Publishing
Spain,EDICIONES PÁMIES,Publishers / Comprehensive Publishing
Austria,Residenz Verlag,Publishers / Children's Publishing
China,China Women Publishing House,Publishers / Comprehensive Publishing
"Taiwan, China",讀書共和國,Publishers / Comprehensive Publishing
China,ZheJiang Publishing United Group,Publishers / Comprehensive Publishing
China,"Beijing Sinoread Books Co., Ltd.",Publishers / Literature Publishing
Japan,小学館,Publishers / Comprehensive Publishing
Japan,徳間書店,Publishers / Comprehensive Publishing
Germany,Filu Inkognito GmbH,Publishers / Literature Publishing
Spain,DETTAGLIO ESPOSITORE,Publishers / Comprehensive Publishing
Spain,Académia Valenciana de la Llengua,Publishers / Comprehensive Publishing
Spain,Artifice,Publishers / Comprehensive Publishing
Spain,AF Editores,Publishers / Comprehensive Publishing
Germany,Gudrun Strüber,Publishers / Comprehensive Publishing
United States,ABDO Publishing,Publishers / Children's Publishing
United States,Plata Publishing,Publishers / Other
United States,Good Books,Publishers / Comprehensive Publishing
China,Anhui Children's Publishing House,Publishers / Children's Publishing
Germany,Verlagsgruppe Patmos,Publishers / Comprehensive Publishing
Argentina,Editorial Betina,Publishers / Children's Publishing
China,Shandong Science & Technology Press,Publishers / Science and Technology Publishing
China,China Machine Press,Publishers / Comprehensive Publishing
China,Qingdao Publishing Group,Publishers / Comprehensive Publishing
China,China Fangzheng Press,Publishers / Comprehensive Publishing
Switzerland,Editions Paquet,Publishers / Comics Publishing
France,Editions Chèvre-feuille étoilée,Publishers / Literature Publishing
France,La Cause des Livres,Publishers / Comprehensive Publishing
Russia,Piter publishing house,Publishers / Comprehensive Publishing
Russia,"ООО ""Рама Паблишинг""",Publishers / Other
Spain,"EDICIONES DESTINO, S.A",Publishers / Comprehensive Publishing
China,Juvenile & Children's Publishing House,Publishers / Children's Publishing
Italy,Gruppo Editoriale Macro,Publishers
China,Guangxi Normal University Press Group,Publishers / Children's Publishing
China,Tianjin Science and Technology Press,Publishers / Science and Technology Publishing
Italy,Francesco Brioschi Editore srl,Publishers / Comprehensive Publishing
